FS   1  G158-100  00 33 54.48 -12 07 58.1   12.955 (0.005) [09]    0.372 (0.005) [10]    0.069 (0.004) [09]
FS   2  SA92-342  00 55 09.93 +00 43 13.1   10.467 (0.004) [12]    0.198 (0.004) [11]    0.042 (0.002) [12]
FS   3  F11       01 04 21.63 +04 13 36.0   12.827 (0.003) [07]   -0.107 (0.003) [07]   -0.107 (0.005) [08]
FS   4  SA93-317  01 54 37.70 +00 43 00.5   10.279 (0.002) [11]    0.229 (0.005) [11]    0.039 (0.002) [11]
FS   5  F16       01 54 34.65 -06 46 00.4   12.339 (0.005) [08]    0.004 (0.002) [07]   -0.006 (0.002) [08]
FS   6  F22       02 30 16.64 +05 15 51.1   13.385 (0.005) [08]   -0.057 (0.005) [08]   -0.083 (0.005) [08]
FS   7  SA94-242  02 57 21.21 +00 18 38.2   10.942 (0.002) [14]    0.121 (0.002) [14]    0.039 (0.001) [14]
FS  10  GD50      03 48 50.20 -00 58 31.2   14.987 (0.011) [09]   -0.100 (0.006) [09]   -0.142 (0.010) [09]
FS  11  SA96-83   04 52 58.92 -00 14 41.6   11.252 (0.002) [18]    0.062 (0.001) [18]    0.027 (0.001) [18]
FS  12  GD71      05 52 27.66 +15 53 14.3   13.920 (0.006) [13]   -0.110 (0.003) [13]   -0.113 (0.005) [13]
FS  13  SA97-249  05 57 07.59 +00 01 11.4   10.133 (0.003) [12]    0.300 (0.004) [13]    0.058 (0.001) [12]
FS  14  Rubin149  07 24 14.40 -00 33 04.1   14.200 (0.008) [08]   -0.062 (0.007) [08]   -0.037 (0.010) [08]
FS  15  M67-I-48  08 51 05.81 +11 43 46.9   12.340 (0.004) [13]    0.324 (0.005) [13]    0.065 (0.002) [13]
FS  16  M67-IV-8  08 51 15.01 +11 49 21.2   12.621 (0.004) [11]    0.278 (0.004) [11]    0.049 (0.002) [11]
FS  17  M67-IV-27 08 51 19.31 +11 52 10.4   12.266 (0.003) [10]    0.314 (0.004) [10]    0.067 (0.002) [10]
FS  18  SA100-280 08 53 35.51 -00 36 41.7   10.521 (0.002) [11]    0.242 (0.004) [11]    0.049 (0.002) [11]
FS  19  G162-66   10 33 42.75 -11 41 38.3   13.786 (0.006) [09]   -0.082 (0.005) [09]   -0.139 (0.007) [09]
FS  20  G163-50   11 07 59.93 -05 09 26.1   13.503 (0.010) [06]   -0.036 (0.006) [06]   -0.078 (0.008) [06]
FS  21  GD140     11 37 05.15 +29 47 58.4   13.150 (0.002) [09]   -0.066 (0.004) [09]   -0.108 (0.004) [09]
FS  33  GD153     12 57 02.30 +22 01 52.8   14.258 (0.005) [06]   -0.108 (0.002) [05]   -0.124 (0.008) [05]
FS  23  M3-193    13 41 43.57 +28 29 49.5   12.363 (0.004) [11]    0.506 (0.006) [11]    0.080 (0.003) [11]
FS  27  M13-A14   16 40 41.56 +36 21 12.4   13.121 (0.005) [10]    0.294 (0.006) [10]    0.058 (0.004) [10]
FS  35  anon      18 27 13.52 +04 03 09.4   11.739 (0.005) [14]    0.354 (0.005) [15]    0.101 (0.002) [15]
FS  34  EG141     20 42 34.73 -20 04 34.8   13.003 (0.004) [09]   -0.074 (0.003) [09]   -0.089 (0.005) [09]
FS  29  G93-48    21 52 25.36 +02 23 20.7   13.314 (0.003) [11]   -0.065 (0.002) [11]   -0.084 (0.003) [11]
FS  30  SA114-750 22 41 44.72 +01 12 36.5   12.023 (0.003) [15]   -0.040 (0.002) [13]   -0.037 (0.002) [14]
FS  31  GD246     23 12 21.60 +10 47 04.1   14.042 (0.007) [10]   -0.125 (0.005) [10]   -0.119 (0.005) [10]
FS  32  F108      23 16 12.37 -01 50 34.6   13.680 (0.007) [08]   -0.103 (0.003) [08]   -0.104 (0.005) [08]
FS 101  fs2-29    00 13 43.58 +30 37 59.9   10.381 (0.006) [08]    0.133 (0.004) [08]    0.039 (0.003) [08]
FS 102  p525-e    00 24 28.50 +07 49 00.1   11.211 (0.005) [06]    0.305 (0.006) [07]    0.063 (0.002) [06]
